date,variant,count
10/1/20,no_interest,13
11/1/20,epsilon,7
11/1/20,no_interest,32
12/1/20,epsilon,16
12/1/20,no_interest,28
1/1/21,alpha,5
1/1/21,epsilon,73
1/1/21,no_interest,13
2/1/21,alpha,21
2/1/21,epsilon,240
2/1/21,no_interest,50
3/1/21,alpha,66
3/1/21,epsilon,93
3/1/21,iota,2
3/1/21,no_interest,49
4/1/21,alpha,116
4/1/21,gamma,15
4/1/21,delta,2
4/1/21,epsilon,45
4/1/21,iota,6
4/1/21,no_interest,12
5/1/21,alpha,15
5/1/21,iota,2
5/1/21,no_interest,10
5/1/21,gamma,2
6/1/21,alpha,6
6/1/21,delta,6
6/1/21,gamma,1
6/1/21,no_interest,2
